arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
acmp,r2,DEBY_LOD2_4907184,raw_acmp,gs_acmp_r2,309.2817,1228.2414,918.9597,0.9993,1.0000,0.0007,5.4703,3.5052,1.9651,multi_slope,multi_slope,0.0000,true,true,조립,조립,improved_more_axes
acmp,r2,DEBY_LOD2_4907185,raw_acmp,gs_acmp_r2,38.3522,28.9412,-9.4110,0.7065,0.2857,-0.4208,5.6663,3.8592,1.8071,multi_slope,multi_slope,1.0000,true,true,조립,조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4907186,raw_acmp,gs_acmp_r2,34.9515,3.0626,-31.8889,0.8232,0.0550,-0.7682,2.2895,2.9932,-0.7037,multi_slope,multi_slope,0.0000,true,true,조립,조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4907188,raw_acmp,gs_acmp_r2,24.4811,2.1159,-22.3652,0.8524,0.0407,-0.8117,2.3114,4.0698,-1.7584,multi_slope,single_slope,-2.0000,true,true,조립,무효·붕괴,worsened_more_axes
acmp,r2,DEBY_LOD2_4907194,raw_acmp,gs_acmp_r2,27.8664,0.2679,-27.5985,0.9906,0.0094,-0.9812,3.3867,0.8467,2.5400,multi_slope,multi_slope,1.0000,true,true,조립,무효·붕괴,worsened_more_axes
acmp,r2,DEBY_LOD2_4907195,raw_acmp,gs_acmp_r2,57.5297,8.6427,-48.8870,0.9803,0.1014,-0.8789,2.8019,3.2901,-0.4882,multi_slope,multi_slope,1.0000,true,true,조립,조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4907198,raw_acmp,gs_acmp_r2,57.7961,11.2174,-46.5787,0.8936,0.1314,-0.7622,4.6057,6.1224,-1.5167,multi_slope,multi_slope,-2.0000,true,true,조립,조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4907199,raw_acmp,gs_acmp_r2,6.6093,14.9878,8.3785,0.1552,0.2010,0.0458,8.4692,13.5929,-5.1237,multi_slope,single_slope,-1.0000,false,true,미조립,무효·붕괴,improved_more_axes
acmp,r2,DEBY_LOD2_4907202,raw_acmp,gs_acmp_r2,37.2245,12.7447,-24.4798,0.4743,0.1716,-0.3027,3.5007,2.2273,1.2734,multi_slope,multi_slope,-2.0000,true,true,조립,조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4908168,raw_acmp,gs_acmp_r2,48.3154,0.0000,-48.3154,0.5351,0.0000,-0.5351,2.5453,,,single_slope,too_few_points,-1.0000,true,false,조립,미조립,worsened_more_axes
acmp,r2,DEBY_LOD2_4908178,raw_acmp,gs_acmp_r2,0.8553,45.1450,44.2897,0.0683,0.3921,0.3238,15.2782,18.9078,-3.6296,multi_slope,multi_slope,4.0000,false,true,미조립,무효·붕괴,improved_more_axes
