arm,base_coef,ci_high,ci_low,coef,coef_delta_from_base,fit_type,n,note,ordinary_coef,outcome,outcome_kind,predictor,robust_coef,se,sign_flip_vs_base,sign_mismatch,spec,status,variant
raw_acmp,none,1.393081,-0.426811,0.483135,none,huber_rlm,26,none,none,rf_roof_planes,continuous,median_pair_angle_deg,none,0.464258,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,1.045722,-0.593971,0.225876,none,huber_rlm,26,none,none,rf_roof_planes,continuous,n_views_nadir,none,0.418289,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.928174,-1.427912,-0.249869,none,huber_rlm,26,none,none,rf_roof_planes,continuous,recon_score_median,none,0.601042,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,9.099152,-0.958462,4.070345,none,logistic,133,none,none,assembled,binary,pt_density_m2_reg,none,2.565718,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.742071,-0.914772,-0.086351,none,logistic,133,none,none,assembled,binary,coverage_frac_reg,none,0.422664,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,1.850112,0.289019,1.069565,none,logistic,133,none,none,assembled,binary,local_plane_rms_m,none,0.398238,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.723634,-0.430131,0.146751,none,logistic,133,none,none,assembled,binary,floater_frac,none,0.294328,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.313348,-0.845871,-0.266262,none,logistic,133,none,none,assembled,binary,label_proxy_frac_ground,none,0.295719,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.102309,-1.205651,-0.551671,none,logistic,133,none,none,assembled,binary,median_incidence_deg,none,0.333663,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,2.757598,0.462145,1.609872,none,logistic,133,none,none,assembled,binary,median_pair_angle_deg,none,0.585575,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.783162,-1.455663,-0.336251,none,logistic,133,none,none,assembled,binary,n_views_nadir,none,0.571129,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.556018,-1.600184,-0.522083,none,logistic,133,none,none,assembled,binary,recon_score_median,none,0.550051,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,1.092270,-0.654070,0.219100,none,logistic,123,none,none,val3dity_valid,binary,pt_density_m2_reg,none,0.445495,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.346913,-3.080154,-1.366620,none,logistic,123,none,none,val3dity_valid,binary,coverage_frac_reg,none,0.874252,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,-0.235085,-1.750291,-0.992688,none,logistic,123,none,none,val3dity_valid,binary,local_plane_rms_m,none,0.386532,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.242238,-0.979209,-0.368486,none,logistic,123,none,none,val3dity_valid,binary,floater_frac,none,0.311594,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.323467,-1.224230,-0.450381,none,logistic,123,none,none,val3dity_valid,binary,label_proxy_frac_ground,none,0.394821,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.736203,-1.194243,-0.229020,none,logistic,123,none,none,val3dity_valid,binary,median_incidence_deg,none,0.492461,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
raw_dense,none,0.838192,-1.261624,-0.211716,none,logistic,123,none,none,val3dity_valid,binary,median_pair_angle_deg,none,0.535667,none,none,label_ground_plus_observation,ok,label_ground_sensitivity
